Duration	Ch1	Ch2	Ch1+Ch2	Ch2+Ch3	Ch2+Ch6	Ch2+Ch4
1.011	3096.409	131628.517	720.946	423.271	34.613	21.757	NaN	NaN
1.008	3101.278	132068.618	696.225	462.167	38.679	24.794	NaN	NaN
1.018	3006.829	130990.506	710.955	403.595	31.423	22.586	NaN	NaN
1.024	3011.913	131519.892	715.122	429.855	28.331	25.401	NaN	NaN
1.012	3151.847	132571.229	751.898	465.367	28.653	23.713	NaN	NaN
1.014	3106.524	131925.700	708.090	439.844	29.586	23.669	NaN	NaN
1.015	3022.985	131827.568	697.839	430.729	30.555	13.799	NaN	NaN
1.003	3001.839	131890.429	713.061	427.837	22.938	22.938	NaN	NaN
1.004	3168.526	132211.252	726.370	421.474	22.917	24.910	NaN	NaN
1.010	3054.591	131829.439	691.886	418.695	28.705	25.735	NaN	NaN
1.006	3121.845	131956.074	689.548	436.184	29.808	26.827	NaN	NaN
1.021	3194.100	132124.035	709.364	435.025	32.333	24.495	NaN	NaN
1.021	3195.149	131595.497	749.093	442.601	24.480	30.355	NaN	NaN
1.017	3186.672	131652.505	740.378	446.390	25.564	22.614	NaN	NaN
1.004	3117.546	131981.743	724.107	445.221	31.873	18.924	NaN	NaN
1.003	3163.580	132280.287	746.541	450.516	27.908	16.944	NaN	NaN
1.014	3049.413	131292.416	710.083	423.091	18.738	24.656	NaN	NaN
1.008	3038.515	132359.996	693.639	447.541	27.785	21.831	NaN	NaN
1.006	3094.200	131116.989	687.600	409.380	30.803	26.828	NaN	NaN
1.002	3283.923	132454.235	701.275	450.891	23.941	31.921	NaN	NaN
1.008	3098.157	132353.967	659.499	434.377	18.843	19.835	NaN	NaN
1.018	3190.126	131974.404	710.881	418.281	24.547	27.493	NaN	NaN
1.004	3240.725	131891.027	704.895	436.079	24.890	27.877	NaN	NaN
1.005	3237.170	131408.003	720.698	431.025	29.863	23.891	NaN	NaN
1.005	3151.854	132363.945	702.180	400.820	40.778	24.865	NaN	NaN
1.012	3250.502	131474.316	685.097	432.016	37.567	26.692	NaN	NaN
1.013	3266.480	131260.371	716.671	399.796	28.627	28.627	NaN	NaN
1.011	3284.355	131755.187	684.777	427.491	30.676	23.749	NaN	NaN
1.009	3409.673	132411.430	746.145	451.849	26.754	23.782	NaN	NaN
1.001	3172.274	131920.062	722.152	430.494	31.962	25.969	NaN	NaN
1.024	3130.279	132624.212	681.727	440.485	27.347	21.487	NaN	NaN
1.004	3198.740	131490.145	673.629	476.323	26.905	30.891	NaN	NaN
1.001	3268.975	132236.645	729.325	445.588	24.977	21.980	NaN	NaN
1.014	3208.871	132022.248	710.014	405.300	26.626	23.667	NaN	NaN
1.017	3237.034	131704.597	719.778	417.904	23.599	26.549	NaN	NaN
1.007	3185.637	131136.593	683.417	421.176	32.780	22.847	NaN	NaN
1.007	3225.834	132959.579	703.385	432.164	36.759	24.837	NaN	NaN
1.025	3144.416	131810.906	676.869	417.435	21.457	22.432	NaN	NaN
1.003	3146.786	131428.161	706.930	449.683	23.930	22.933	NaN	NaN
1.008	3345.959	131755.181	737.043	451.352	32.735	27.776	NaN	NaN
1.000	3147.023	131999.031	702.782	415.871	26.992	17.994	NaN	NaN
1.000	3048.811	132134.485	631.754	429.832	20.992	17.993	NaN	NaN
1.024	3211.427	132304.335	673.931	463.938	26.371	24.418	NaN	NaN
1.006	3190.353	132124.740	653.182	456.333	25.849	27.837	NaN	NaN
1.023	3210.389	131626.923	658.115	429.291	24.447	26.403	NaN	NaN
1.008	3327.902	131900.245	730.491	426.781	25.805	26.798	NaN	NaN
1.010	3013.555	131871.958	670.009	399.828	27.711	13.855	NaN	NaN
1.003	3345.503	131741.628	744.663	420.680	23.925	17.944	NaN	NaN
1.011	3363.230	132121.260	737.715	446.980	29.667	23.733	NaN	NaN
1.012	3319.206	131525.143	704.553	457.515	37.550	20.751	NaN	NaN
1.013	3235.856	132379.960	699.671	409.540	28.618	42.434	NaN	NaN
1.012	3314.423	132015.786	706.352	434.678	29.637	21.734	NaN	NaN
1.004	3184.397	132421.924	721.146	412.368	23.905	19.921	NaN	NaN
1.013	3281.919	131980.734	725.695	447.265	19.747	28.633	NaN	NaN
1.016	3324.583	132049.601	758.583	423.075	24.597	26.565	NaN	NaN
1.018	3171.637	131486.435	706.990	435.977	23.566	31.422	NaN	NaN
1.014	3219.179	132149.142	712.304	442.970	33.543	25.651	NaN	NaN
1.013	3103.860	132538.984	742.399	418.587	11.847	17.770	NaN	NaN
1.003	3198.406	131749.006	733.030	410.896	22.938	24.933	NaN	NaN
1.014	3259.954	132010.368	724.215	439.068	25.653	14.800	NaN	NaN
1.011	3276.690	132020.318	690.558	454.106	27.701	26.712	NaN	NaN
1.016	3465.432	131672.619	726.559	460.745	40.364	16.736	NaN	NaN
1.002	3235.558	132080.200	682.430	467.924	27.936	22.947	NaN	NaN
1.001	3280.482	131861.800	739.433	454.651	31.975	18.985	NaN	NaN
1.002	3036.826	131678.913	658.444	412.027	20.951	34.918	NaN	NaN
1.011	3317.848	132273.971	721.701	420.168	18.784	32.625	NaN	NaN
1.018	3151.537	131387.351	710.053	402.658	32.409	29.463	NaN	NaN
1.002	3020.116	132173.717	652.513	424.033	26.939	15.964	NaN	NaN
1.001	3078.358	131438.491	709.161	410.514	22.973	21.974	NaN	NaN
1.002	3104.676	132370.003	707.786	419.281	34.940	22.961	NaN	NaN
1.013	3360.879	132576.108	738.091	445.025	23.682	19.735	NaN	NaN
1.005	3366.367	131674.307	752.061	420.796	31.833	27.854	NaN	NaN
